"celebrity_id","celebrity","notability"
1,"Erin Andrews","ESPN sportscaster"
2,"Evan Lysacek","Olympic figure skater"
3,"Niecy Nash","Comedian, actress & host"
4,"Aiden Turner","All My Children actor"
5,"Kurt Warner","NFL quarterback"
6,"Nicole Scherzinger","Pussycat Dolls singer"
7,"Jake Pavelka","The Bachelor star"
8,"Kate Gosselin","Reality television star"
9,"Chad Ochocinco","NFL wide receiver"
10,"Brandy","Singer & actress"
11,"Rick Fox","NBA small forward"
12,"Kyle Massey","Disney Channel actor & rapper"
13,"The Situation","Jersey Shore star"
14,"Pamela Anderson","Playboy model & actress"
15,"Florence Henderson","The Brady Bunch actress"
16,"Jennifer Grey","Film & television actress"
17,"Bristol Palin","Activist, author &---daughter of Sarah Palin"
18,"Audrina Patridge","The Hills star"
19,"George Hamilton","Actor"
20,"Cody Linley","Hannah Montana actor"
21,"Penn Jillette","Magician"
22,"Jennie Garth","Television actress"
23,"Ian Ziering","Television actor"
24,"Joey Lawrence","Television actor"
25,"Joey Fatone","NSYNC singer & actor"
26,"Metta World Peace","NBA small forward"
27,"Lisa Rinna","Television actress & host"
28,"Kenny Mayne","ESPN anchorman"
29,"Stacy Keibler","WWE Diva"
30,"Chelsea Kane","Disney Channel actress"
31,"Rocco DiSpirito","Celebrity chef & author"
32,"Toni Braxton","Singer-songwriter"
33,"Maurice Greene","Olympic sprinter"
34,"Brooke Burke","Model & television host"
35,"Ted McGinley","Film & television actor"
36,"Jason Taylor","NFL defensive end"
37,"Cristián de la Fuente","Film & television actor"
38,"Adam Carolla","Comedian & radio host"
39,"Mario","R&B singer"
40,"Aaron Carter","Singer & actor"
41,"Lil' Kim","Rapper"
42,"Willow Shields","The Hunger Games actress"
43,"Josie Maran","Model & actress"
44,"Sabrina Bryan","The Cheetah Girls singer & actress"
45,"Marie Osmond","Entertainer"
46,"Mel B","Spice Girls singer"
47,"Jane Seymour","Film & television actress"
48,"Antonio Sabàto Jr.","General Hospital actor & model"
49,"Paulina Porizkova","Supermodel"
50,"Billy Ray Cyrus","Country music singer & actor"
51,"Leeza Gibbons","Talk-show host"
52,"Sara Evans","Country music singer"
53,"Tucker Carlson","News anchor & commentator"
54,"Monique Coleman","High School Musical actress"
55,"Emmitt Smith","NFL running back"
56,"Shawn Johnson","Olympic gymnast"
57,"Hélio Castroneves","Indy 500 champion"
58,"Melissa Rycroft","Television presenter"
59,"NeNe Leakes","Reality television star & actress"
60,"Rob Kardashian","Reality television star"
61,"Kristin Cavallari","Reality television star"
62,"Chynna Phillips","Wilson Phillips singer---& solo artist"
63,"Brant Daugherty","Pretty Little Liars actor"
64,"Kellie Pickler","Country music singer"
65,"Maria Menounos","Television host"
66,"Drew Lachey","98 Degrees singer"
67,"Tia Carrere","Actress & model"
68,"Master P","Rapper & entrepreneur"
69,"Giselle Fernandez","Television journalist"
70,"Jerry Rice","NFL wide receiver"
71,"Wendy Williams","Talk show host & author"
72,"Hines Ward","NFL wide receiver"
73,"Petra Němcová","Supermodel"
74,"Lance Bass","NSYNC singer"
75,"Cloris Leachman","Film & television actress"
76,"Jeffrey Ross","Stand-up comedian"
77,"Kim Kardashian","Reality television star"
78,"Susan Lucci","All My Children actress"
79,"Steve Guttenberg","Film actor"
80,"Shannon Elizabeth","American Pie actress"
81,"Chris Mazdzer","Olympic luger"
82,"Terrell Owens","NFL wide receiver"
83,"Shannen Doherty","Film & television actress"
84,"Chuck Liddell","UFC fighter"
85,"Mark Dacascos","Iron Chef America chairman"
86,"Ashley Hamilton","Actor & comedian"
87,"Donny Osmond","Singer & actor"
88,"Belinda Carlisle","Singer-songwriter"
89,"Lawrence Taylor","NFL linebacker"
90,"Steve-O","Jackass star"
91,"Gilles Marini","Actor"
92,"Chuck Wicks","Country singer"
93,"Normani","Fifth Harmony singer"
94,"Robert Herjavec","Shark Tank panelist & businessman"
95,"Riker Lynch","R5 singer & actor"
96,"Charlotte McKinney","Model & actress"
97,"Marilu Henner","Actress, broadcaster & author"
98,"Kim Fields","Actress & reality television star"
99,"Victor Espinoza","Jockey"
100,"Cameron Mathison","All My Children actor & TV host"
101,"Lea Thompson","Film & television actress"
102,"Janel Parrish","Pretty Little Liars actress"
103,"Lolo Jones","Olympic athlete"
104,"Betsey Johnson","Fashion designer"
105,"Laila Ali","Professional boxer"
106,"John Ratzenberger","Film & television actor & author"
107,"Shandi Finnessey","Miss USA 2004"
108,"Clyde Drexler","NBA player"
109,"Heather Mills","Model & charity campaigner"
110,"Willa Ford","Pop singer & actress"
111,"Mario Lopez","Television actor & host"
112,"Shanna Moakler","Model, actress & reality television star"
113,"Harry Hamlin","Film & television actor"
114,"Vivica A. Fox","Film actress & producer"
