"couple_id","couple"
1,"Erin & Maks"
2,"Evan & Anna"
3,"Niecy & Louis"
4,"Aiden & Edyta"
5,"Kurt & Anna"
6,"Nicole & Derek"
7,"Jake & Chelsie"
8,"Kate & Tony"
9,"Chad & Cheryl"
10,"Brandy & Maks"
11,"Rick & Cheryl"
12,"Kyle & Lacey"
13,"The Situation & Karina"
14,"Pamela & Damian"
15,"Florence & Corky"
16,"Jennifer & Derek"
17,"Bristol & Mark"
18,"Audrina & Tony"
19,"George & Edyta"
20,"Cody & Julianne"
21,"Penn & Kym"
22,"Jennie & Derek"
23,"Ian & Cheryl"
24,"Joey & Edyta"
25,"Joey & Kym"
26,"Metta & Peta"
27,"Lisa & Louis"
28,"Kenny & Andrea"
29,"Stacy & Tony"
30,"Chelsea & Mark"
31,"Rocco & Karina"
32,"Toni & Alec"
33,"Maurice & Cheryl"
34,"Brooke & Derek"
35,"Ted & Inna"
36,"Jason & Edyta"
37,"Cristián & Cheryl"
38,"Adam & Julianne"
39,"Mario & Karina"
40,"Aaron & Karina"
41,"Lil' Kim & Derek"
42,"Willow & Mark"
43,"Josie & Alec"
44,"Sabrina & Mark"
45,"Marie & Jonathan"
46,"Mel & Maks"
47,"Jane & Tony"
48,"Antonio & Cheryl"
49,"Paulina & Alec"
50,"Billy Ray & Karina"
51,"Leeza & Tony"
52,"Sara & Tony"
53,"Tucker & Elena"
54,"Monique & Louis"
55,"Emmitt & Cheryl"
56,"Shawn & Derek"
57,"Sabrina & Louis"
58,"Hélio & Chelsie"
59,"Pamela & Tristan"
60,"Melissa & Tony"
61,"NeNe & Tony"
62,"Rob & Cheryl"
63,"Kristin & Mark"
64,"Chynna & Tony"
65,"Brant & Peta"
66,"Kellie & Derek"
67,"Maria & Derek"
68,"Drew & Cheryl"
69,"Tia & Maks"
70,"Master P & Ashly"
71,"Giselle & Jonathan"
72,"Jerry & Anna"
73,"Wendy & Tony"
74,"Hines & Kym"
75,"Petra & Dmitry"
76,"Lance & Lacey"
77,"Cloris & Corky"
78,"Jeffrey & Edyta"
79,"Kim & Mark"
80,"Susan & Tony"
81,"Steve & Anna"
82,"Shannon & Derek"
83,"Chris & Witney"
84,"Terrell & Cheryl"
85,"Shannen & Mark"
86,"Chuck & Anna T."
87,"Mark & Lacey"
88,"Ashley & Edyta"
89,"Donny & Kym"
90,"Belinda & Jonathan"
91,"Lawrence & Edyta"
92,"Steve-O & Lacey"
93,"Gilles & Cheryl"
94,"Chuck & Julianne"
95,"Normani & Val"
96,"Robert & Kym"
97,"Riker & Allison"
98,"Charlotte & Keo"
99,"Marilu & Derek"
100,"Kim & Sasha"
101,"Victor & Karina"
102,"Cameron & Edyta"
103,"Lea & Artem"
104,"Janel & Val"
105,"Lolo & Keo"
106,"Betsey & Tony"
107,"Laila & Maks"
108,"John & Edyta"
109,"Shandi & Brian"
110,"Clyde & Elena"
111,"Heather & Jonathan"
112,"Willa & Maks"
113,"Shanna & Jesse"
114,"Harry & Ashly"
115,"Vivica & Nick"
116,"Apolo & Karina"
117,"Gilles & Peta"
118,"Drew & Anna"
119,"Kelly & Val"
120,"James & Peta"
121,"Danica & Val"
122,"Sean & Karina"
123,"Billy Dee & Emma"
124,"Nancy & Tristan"
125,"David & Kym"
126,"Elisabetta & Val"
127,"Hope & Maks"
128,"Leah & Tony"
129,"Corbin & Karina"
130,"Jack & Cheryl"
131,"Amber & Derek"
132,"Elizabeth & Val"
133,"Victor & Lindsay"
134,"Ingo & Kym"
135,"Lisa & Gleb"
136,"Jack & Anna"
137,"Donald & Peta"
138,"Gavin & Karina"
139,"Roshon & Chelsie"
140,"Sherri & Val"
141,"Tatum & Nick"
142,"Romeo & Chelsie"
143,"Sugar Ray & Anna"
144,"Kendra & Louis"
145,"Misty & Maks"
146,"Warren & Kym"
147,"Monica & Jonathan"
148,"Marissa & Tony"
149,"Priscilla & Louis"
150,"Kristi & Mark"
151,"Margaret & Louis"
152,"Kareem & Lindsay"
153,"Jennie & Keo"
154,"Jamie & Artem"
155,"Mirai & Alan"
156,"Debbie & Alan"
157,"Sasha & Gleb"
158,"Drew & Emma"
159,"Joey & Ashly"
160,"Jordin & Brandon"
161,"Melanie & Gleb"
162,"Buzz & Ashly"
163,"Louie & Chelsie"
164,"Michael & Anna D."
165,"Tom & Cheryl"
166,"Holly & Dmitry"
167,"Ty & Chelsie"
168,"Shawn & Mark"
169,"Nancy & Artem"
170,"Bonner & Sharna"
171,"Charo & Keo"
172,"Patti & Artem"
173,"Michael & Peta"
174,"James & Sharna"
175,"Calvin & Lindsay"
176,"Maureen & Artem"
177,"Babyface & Allison"
178,"Paige & Mark"
179,"Doug & Karina"
180,"Jodie & Keo"
181,"Geraldo & Edyta"
182,"Tamar & Val"
183,"Chaka & Keo"
184,"Hayes & Emma"
185,"Floyd & Karina"
186,"Hélio & Julianne"
187,"Albert & Anna"
188,"Mark & Kym"
189,"Tavis & Sharna"
190,"Sadie & Mark"
191,"Michael & Emma"
192,"Apolo & Julianne"
193,"Jerry & Kym"
194,"Kirstie & Maks"
195,"Meryl & Maks"
196,"Candace & Mark"
197,"Cody & Witney"
198,"Carson & Anna"
199,"J.R. & Karina"
200,"Ricki & Derek"
201,"Chaz & Lacey"
202,"Bill N. & Tyne"
203,"Keyshawn & Sharna"
204,"Christina & Mark"
205,"Bill E. & Emma"
206,"D.L. & Cheryl"
207,"Zendaya & Val"
208,"Sean & Peta"
209,"Alexandra & Mark"
210,"Melissa & Maks"
211,"William & Cheryl"
212,"Martina & Tony"
213,"Ralph & Karina"
214,"Chris & Cheryl"
215,"Mike & Lacey"
216,"Marlee & Fabian"
217,"Michael & Chelsie"
218,"Arike & Gleb"
219,"Adam & Jenna"
220,"Johnny & Emma"
221,"Tonya & Sasha"
222,"Josh & Sharna"
223,"Barbara & Keo"
224,"Jordan & Lindsay"
225,"Nick & Peta"
226,"Vanessa & Maks"
227,"Rachel & Jonathan"
228,"Evander & Edyta"
229,"Kelly & Alec"
230,"John & Charlotte"
231,"Sam & Cheryl"
232,"Heidi & Artem"
233,"Daniel & Britt"
234,"The Miz & Witney"
235,"Iman & Daniella"
236,"Olivia & Val"
237,"Jimmie & Emma"
238,"Melora & Artem"
239,"Steve & Karina"
240,"Denise & Maks"
241,"Heather & Maks"
242,"David & Lindsay"
243,"Nastia & Derek"
244,"Redfoo & Emma"
245,"Noah & Sharna"
246,"Suzanne & Tony"
247,"Amber & Maks"
248,"Vanilla Ice & Witney"
249,"Jana & Gleb"
250,"Marla & Tony"
251,"Wanyá & Lindsay"
252,"Ginger & Val"
253,"Mischa & Artem"
254,"Andy & Allison"
255,"Paula & Louis"
256,"Carlos & Witney"
257,"Alexa & Mark"
258,"Wayne & Cheryl"
259,"Jonathan & Allison"
260,"Tommy & Peta"
261,"Randy & Karina"
262,"Bethany & Derek"
263,"Amy & Derek"
264,"Diana & Henry"
265,"Valerie & Tristan"
266,"Nicole & Sasha"
267,"Dorothy & Tristan"
268,"Wynonna & Tony"
269,"Andy & Sharna"
270,"Jacoby & Karina"
271,"Katherine & Mark"
272,"Gladys & Tristan"
273,"Jaleel & Kym"
274,"Frankie & Witney"
275,"Nikki & Artem"
276,"Derek & Sharna"
277,"Victoria & Val"
278,"Lindsey & Mark"
279,"Trista & Louis"
280,"Jessie & Alan"
281,"Teresa & Pasha"
282,"Wayne & Witney"
283,"Cheryl & Louis"
284,"Vinny & Koko"
285,"Suni & Sasha"
286,"Cody & Cheryl"
287,"Amanda & Alan"
288,"Erika & Gleb"
289,"Rashad & Emma"
290,"Mr. T & Kym"
291,"Simone & Sasha"
292,"Rumer & Val"
293,"Jake & Jenna"
294,"Rick & Emma"
295,"Terra & Sasha"
296,"Nyle & Peta"
297,"Antonio & Sharna"
298,"Von & Witney"
299,"Kim & Tony"
300,"Bindi & Derek"
301,"Gary & Anna"
302,"Alek & Lindsay"
303,"Alfonso & Witney"
304,"Charlie & Sharna"
305,"Shangela & Gleb"
306,"Trevor & Emma"
307,"Gabby & Val"
308,"Joseph & Daniella"
309,"Martin & Britt"
310,"Kenya & Brandon"
311,"Christine & Pasha"
312,"Matt & Lindsay"
313,"Brian & Sharna"
314,"Debi & Maks"
315,"Ryan & Cheryl"
316,"Laurie & Val"
317,"Paige & Alan"
318,"Nick & Sharna"
319,"Jason & Peta"
320,"Selma & Sasha"
321,"Charli & Mark"
322,"JoJo & Jenna"
323,"Melissa & Mark"
324,"Mýa & Dmitry"
325,"Kathy & Tony"
326,"Natalie & Alec"
327,"Macy & Jonathan"
328,"Heather & Alan"
329,"Joanna & Derek"
330,"Kelly & Louis"
331,"Joseph & Alexis"
332,"Candace & Tony"
333,"James & Cheryl"
334,"Drew & Witney"
335,"Danica & Maks"
336,"Charlie & Peta"
337,"Amy & Mark"
338,"Cody & Sharna"
339,"NeNe & Derek"
340,"Meryl & Val"
341,"Vanessa & Alan"
342,"Wanyá & Witney"
343,"Antonio & Allison"
344,"Kim & Keo"
345,"Doug & Peta"
346,"Ginger & Mark"
347,"Antonio & Karina"
348,"Paige & Sasha"
349,"Bethany & Mark"
350,"Jonathan & Peta"
351,"Alfonso & Cheryl"
352,"Janel & Artem"
353,"Von & Lindsay"
354,"Nyle & Sharna"
355,"Jodie & Val"
356,"Michael & Witney"
357,"Tommy & Emma"
358,"Sadie & Derek"
359,"Lea & Val"
360,"Tamar & Louis"
361,"Cody & Edyta"
362,"Nastia & Sasha"
363,"Hayes & Allison"
364,"Paula & Mark"
365,"Alek & Emma"
366,"Bindi & Val"
367,"Carlos & Lindsay"
368,"Alexa & Derek"
369,"Nick & Witney"
370,"Joanna & Maks"
371,"James & Jenna"
372,"AJ & Cheryl"
373,"Chrishell & Gleb"
374,"Vernon & Peta"
375,"Anne & Keo"
376,"Jeannie & Brandon"
377,"Jesse & Sharna"
378,"Skai & Alan"
379,"Kaitlyn & Artem"
380,"Nev & Jenna"
381,"Johnny & Britt"
382,"Justina & Sasha"
383,"Charles & Emma"
384,"Monica & Val"
385,"Nelly & Daniella"
386,"Mark & Anna T."
387,"Carole & Pasha"
388,"Hannah & Alan"
389,"Kel & Witney"
390,"Kate & Pasha"
391,"Lamar & Peta"
392,"Lauren & Gleb"
393,"Sailor & Val"
394,"Karamo & Jenna"
395,"Ray & Cheryl"
396,"Mary & Brandon"
397,"Ally & Sasha"
398,"Sean & Lindsay"
399,"James & Emma"
400,"Mary Lou & Sasha"
401,"Milo & Witney"
402,"Evanna & Keo"
403,"Danelle & Artem"
404,"Bobby & Sharna"
405,"Juan Pablo & Cheryl"
406,"Nikki & Gleb"
407,"Alexis & Alan"
408,"John & Emma"
409,"Tinashe & Brandon"
410,"Nancy & Val"
411,"Joe & Jenna"
412,"DeMarcus & Lindsay"
413,"Sean & Jenna"
