"professional_id","professional"
1,"Maksim Chmerkovskiy"
2,"Anna Trebunskaya"
3,"Louis van Amstel"
4,"Edyta Śliwińska"
5,"Derek Hough"
6,"Chelsie Hightower"
7,"Tony Dovolani"
8,"Cheryl Burke"
9,"Lacey Schwimmer"
10,"Karina Smirnoff"
11,"Damian Whitewood"
12,"Corky Ballas"
13,"Mark Ballas"
14,"Julianne Hough"
15,"Kym Johnson"
16,"Peta Murgatroyd"
17,"Andrea Hale"
18,"Alec Mazo"
19,"Inna Brayer"
20,"Jonathan Roberts"
21,"Elena Grinenko"
22,"Tristan MacManus"
23,"Ashly DelGrosso"
24,"Dmitry Chaplin"
25,"Witney Carson"
26,"Valentin Chmerkovskiy"
27,"Allison Holker"
28,"Keo Motsepe"
29,"Sasha Farber"
30,"Artem Chigvintsev"
31,"Brian Fortuna"
32,"Jesse DeSoto"
33,"Nick Kosovich"
34,"Emma Slater"
35,"Lindsay Arnold"
36,"Gleb Savchenko"
37,"Louis Van Amstel"
38,"Alan Bersten"
39,"Brandon Armstrong"
40,"Ashly Costa"
41,"Anna Demidova"
42,"Sharna Burgess"
43,"Tyne Stecklein"
44,"Fabian Sanchez"
45,"Jenna Johnson"
46,"Charlotte Jørgensen"
47,"Britt Stewart"
48,"Daniella Karagach"
49,"Henry Byalikov"
50,"Pasha Pashkov"
51,"Koko Iwasaki"
52,"Kym Herjavec"
53,"Val Chmerkovskiy"
54,"Alexis Warr"
