"score_id","performance_id","judge_id","judge_score"
1,820,1,6.5
2,820,2,6.5
3,820,3,6.5
4,907,1,9.0
5,907,2,8.0
6,907,3,9.0
7,908,1,6.0
8,908,2,6.0
9,908,3,6.0
10,909,1,5.5
11,909,2,5.5
12,909,3,5.5
13,979,1,6.0
14,979,2,5.5
15,979,3,5.5
16,998,1,8.5
17,998,2,8.0
18,998,3,8.5
19,999,1,6.5
20,999,2,6.5
21,999,3,6.0
22,1000,1,5.0
23,1000,2,5.5
24,1000,3,5.5
25,1001,1,7.5
26,1001,2,6.5
27,1001,3,8.0
28,1080,1,8.0
29,1080,2,8.0
30,1080,3,8.0
31,1081,1,6.0
32,1081,2,7.0
33,1081,3,6.5
34,1082,1,7.0
35,1082,2,6.5
36,1082,3,6.5
37,1083,1,5.0
38,1083,2,4.5
39,1083,3,4.5
40,1097,1,7.5
41,1097,2,7.5
42,1097,3,8.5
43,1167,1,6.0
44,1167,2,6.0
45,1167,3,5.5
46,1168,1,9.5
47,1168,2,9.0
48,1168,3,9.5
49,1169,1,5.0
50,1169,2,5.5
51,1169,3,5.5
52,1256,1,8.0
53,1256,2,7.5
54,1256,3,7.5
55,0,1,7.0
56,0,2,5.0
57,0,3,6.0
58,1,1,6.0
59,1,2,6.0
60,1,3,6.0
61,2,1,5.0
62,2,2,6.0
63,2,3,5.0
64,3,1,7.0
65,3,2,7.0
66,3,3,7.0
67,4,1,7.0
68,4,2,7.0
69,4,3,7.0
70,5,1,7.0
71,5,2,7.0
72,5,3,7.0
73,6,1,6.5
74,6,2,7.0
75,6,3,7.0
76,7,1,5.0
77,7,2,4.0
78,7,3,5.0
79,8,1,5.0
80,8,2,7.0
81,8,3,7.0
82,9,1,4.0
83,9,2,5.0
84,9,3,4.0
85,10,1,8.0
86,10,2,6.0
87,10,3,8.0
88,11,1,7.0
89,11,2,7.0
90,11,3,7.0
91,12,1,5.0
92,12,2,4.0
93,12,3,5.0
94,13,1,7.0
95,13,2,7.0
96,13,3,8.0
97,14,1,6.0
98,14,2,6.0
99,14,3,6.0
100,15,1,7.0
101,15,2,8.0
102,15,3,8.0
103,16,1,6.0
104,16,2,6.0
105,16,3,6.0
106,17,1,7.0
107,17,2,8.0
108,17,3,7.0
109,18,1,7.0
110,18,2,7.0
111,18,3,7.0
112,19,1,5.0
113,19,2,5.0
114,19,3,5.0
115,20,1,8.0
116,20,2,8.0
117,20,3,8.0
