"week_theme_id","week_theme"
1,"Double-score Week"
2,"Acoustic Week"
3,"No Theme"
4,"First Dances"
5,"Premiere Night"
6,"First Dances/400th Episode Week"
7,"Premiere Night Party"
8,"Top 12"
9,"First Elimination"
10,"Top 11"
11,"Latin Night"
12,"Team Dance Night"
13,"My Jam Monday"
14,"Celebrity's Pick Night"
15,"Ballroom Night / Latin Night"
16,"TV Night"
17,"Hometown Glory Week"
18,"MVP Night (Semifinals)"
19,"Elvis Night"
20,"Story-telling Week"
21,"Iconic Dances Week"
22,"Hollywood Night"
23,"Most Memorable Year Week"
24,"Most Memorable Year Night"
25,"Prom Night"
26,"Personal Story Week"
27,"Story Week"
28,"Vegas Night"
29,"Movie Night"
30,"Face-off Night"
31,"Top 10"
32,"Rock Week"
33,"Finals"
34,"60 Years of James Bond"
35,"Opponents' Choice Week"
36,"Switch-Up Night"
37,"Movie Week"
38,"Best Year of My Life Night"
39,"Classical Week"
40,"Disney Night"
41,"Latin Week"
42,"Guilty Pleasures Night"
43,"Finale"
44,"Britney Night"
45,"Cirque du Soleil Night"
46,"'80s Week"
47,"Guilty Pleasures Week"
48,"Len's Side-by-Side Challenge"
49,"American Week"
50,"TV Week"
51,"Dance off (aka Rematch)"
52,"Disney+ Night"
53,"Marathon Week"
54,"Broadway Week"
55,"Switch-Up Challenge"
56,"Country Week"
57,"Party Anthems Night"
58,"Motown Week"
59,"Guilty Pleasure Week"
60,"Disney Week"
61,"Famous Dances Night"
62,"Halloween Week"
63,"Stevie Wonder Night"
64,"Boy Bands vs. Girl Groups Night"
65,"Spring Break Night"
66,"Top 9"
67,"Ballroom Greats Week"
68,"Stars' Stories Week"
69,"Team Dance Week"
70,"Icons Night"
71,"Dance Fusion Week"
72,"Instant Choreography Week"
73,"Eras Night"
74,"Celebrity Dance Duels Night"
75,"200th Episode Week"
76,"Race to the Semifinals"
77,"A Night at the Movies"
78,"Judges' Team-up Challenge"
79,"Halloween Night"
80,"Cher Night"
81,"American Icons Night"
82,"Semifinals"
83,"Dynamic Duos Night"
84,"Veterans Day/Trio Week"
85,"Grease Night"
86,"America's Choice Night"
87,"Trio Night"
88,"Trio Week"
89,"Quarterfinals"
90,"Horror Night"
91,"Showstoppers Night"
92,"Plugged/Unplugged Night"
93,"Michael Bublé Night"
94,"Queen Night"
95,"Janet Jackson Night"
96,"Top 13"
97,"'80s Night"
98,"Cast From The Past"
99,"New York City Night / Vegas Night"
100,"Villains Night"
101,"Double Elimination Night"
102,"Dance-Off Week"
103,"Boy Band & Girl Group Night"
104,"Country Night"
