season,week,contestant,judge_score_norm,fan_vote_norm,total_score,is_eliminated
3,1,Harry Hamlin,0.08018867924528301,0.080188679245283,0.080188679245283,False
3,1,Vivica A. Fox,0.10377358490566038,0.10377358490566038,0.10377358490566038,False
3,1,Monique Coleman,0.08962264150943396,0.08962264150943397,0.08962264150943397,False
3,1,Joey Lawrence,0.09905660377358491,0.09905660377358494,0.09905660377358493,False
3,1,Mario Lopez,0.12264150943396226,0.12264150943396226,0.12264150943396226,False
3,1,Emmitt Smith,0.11320754716981132,0.11320754716981132,0.11320754716981132,False
3,1,Shanna Moakler,0.08490566037735849,0.08490566037735849,0.08490566037735849,False
3,1,Willa Ford,0.10377358490566038,0.10377358490566038,0.10377358490566038,False
3,1,Sara Evans,0.07075471698113207,0.07075471698113207,0.07075471698113207,False
3,1,Jerry Springer,0.07547169811320754,0.07547169811320756,0.07547169811320756,False
3,1,Tucker Carlson,0.05660377358490566,0.05660377358490566,0.05660377358490566,True
3,2,Harry Hamlin,0.09130434782608696,0.09130434782608696,0.09130434782608696,False
3,2,Vivica A. Fox,0.10434782608695652,0.10434782608695646,0.10434782608695649,False
3,2,Monique Coleman,0.11304347826086956,0.11304347826086956,0.11304347826086956,False
3,2,Joey Lawrence,0.12608695652173912,0.12608695652173918,0.12608695652173915,False
3,2,Mario Lopez,0.09130434782608696,0.09130434782608696,0.09130434782608696,False
3,2,Emmitt Smith,0.10434782608695652,0.10434782608695649,0.1043478260869565,False
3,2,Shanna Moakler,0.09565217391304348,0.08260869565217388,0.08913043478260868,True
3,2,Willa Ford,0.1,0.1,0.1,False
3,2,Sara Evans,0.09130434782608696,0.09130434782608698,0.09130434782608697,False
3,2,Jerry Springer,0.08260869565217391,0.09565217391304348,0.0891304347826087,False
3,3,Harry Hamlin,0.10628019323671498,0.09178743961352656,0.09903381642512077,True
3,3,Vivica A. Fox,0.13043478260869565,0.13043478260869565,0.13043478260869565,False
3,3,Monique Coleman,0.13043478260869565,0.13043478260869565,0.13043478260869565,False
3,3,Joey Lawrence,0.10628019323671498,0.10628019323671498,0.10628019323671498,False
3,3,Mario Lopez,0.10628019323671498,0.10628019323671498,0.10628019323671498,False
3,3,Emmitt Smith,0.09178743961352658,0.10628019323671495,0.09903381642512077,False
3,3,Willa Ford,0.10628019323671498,0.10628019323671498,0.10628019323671498,False
3,3,Sara Evans,0.12077294685990338,0.12077294685990336,0.12077294685990336,False
3,3,Jerry Springer,0.10144927536231885,0.10144927536231885,0.10144927536231885,False
3,4,Vivica A. Fox,0.12121212121212122,0.10101010101010101,0.1111111111111111,True
3,4,Monique Coleman,0.12121212121212122,0.12121212121212122,0.12121212121212122,False
3,4,Joey Lawrence,0.13636363636363635,0.13636363636363635,0.13636363636363635,False
3,4,Mario Lopez,0.14646464646464646,0.14646464646464646,0.14646464646464646,False
3,4,Emmitt Smith,0.12121212121212122,0.12121212121212122,0.12121212121212122,False
3,4,Willa Ford,0.1414141414141414,0.1414141414141414,0.1414141414141414,False
3,4,Sara Evans,0.10101010101010101,0.12121212121212122,0.1111111111111111,False
3,4,Jerry Springer,0.1111111111111111,0.11111111111111112,0.1111111111111111,False
3,5,Monique Coleman,0.14917127071823205,0.14917127071823205,0.14917127071823205,False
3,5,Joey Lawrence,0.13812154696132597,0.13812154696132597,0.13812154696132597,False
3,5,Mario Lopez,0.14917127071823205,0.14917127071823205,0.14917127071823205,False
3,5,Emmitt Smith,0.14917127071823205,0.14917127071823205,0.14917127071823205,False
3,5,Willa Ford,0.14917127071823205,0.12707182320441993,0.138121546961326,True
3,5,Sara Evans,0.13259668508287292,0.14364640883977906,0.138121546961326,False
