celebrity_name,ballroom_partner,season,placement,results,elimination_week,celebrity_industry,celebrity_age,week1_total_score,week1_avg_score,week1_judge_count,week2_total_score,week2_avg_score,week2_judge_count,week3_total_score,week3_avg_score,week3_judge_count,week4_total_score,week4_avg_score,week4_judge_count,week5_total_score,week5_avg_score,week5_judge_count,week6_total_score,week6_avg_score,week6_judge_count,week7_total_score,week7_avg_score,week7_judge_count,week8_total_score,week8_avg_score,week8_judge_count,week9_total_score,week9_avg_score,week9_judge_count,week10_total_score,week10_avg_score,week10_judge_count,week11_total_score,week11_avg_score,week11_judge_count
John O'Hurley,Charlotte Jorgensen,1,2,2nd Place,,Actor/Actress,50,20.0,6.666666666666667,3,26.0,8.666666666666666,3,24.0,8.0,3,21.0,7.0,3,27.0,9.0,3,27.0,9.0,3,,,0,,,0,,,0,,,0,,,0
Kelly Monaco,Alec Mazo,1,1,1st Place,,Actor/Actress,29,13.0,4.333333333333333,3,17.0,5.666666666666667,3,21.0,7.0,3,26.0,8.666666666666666,3,23.5,7.833333333333333,3,27.5,9.166666666666666,3,,,0,,,0,,,0,,,0,,,0
Evander Holyfield,Edyta Sliwinska,1,5,Eliminated Week 3,3.0,Athlete,42,18.0,6.0,3,14.0,4.666666666666667,3,13.0,4.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Rachel Hunter,Jonathan Roberts,1,4,Eliminated Week 4,4.0,Model,35,20.0,6.666666666666667,3,24.0,8.0,3,26.0,8.666666666666666,3,25.0,8.333333333333334,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Joey McIntyre,Ashly DelGrosso,1,3,3rd Place,,Singer/Rapper,32,20.0,6.666666666666667,3,21.0,7.0,3,22.0,7.333333333333333,3,20.0,6.666666666666667,3,22.5,7.5,3,,,0,,,0,,,0,,,0,,,0,,,0
Trista Sutter,Louis van Amstel,1,6,Eliminated Week 2,2.0,TV Personality,32,18.0,6.0,3,19.0,6.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Tatum O'Neal,Nick Kosovich,2,9,Eliminated Week 2,2.0,Actor/Actress,42,23.0,7.666666666666667,3,17.0,5.666666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Tia Carrere,Maksim Chmerkoskiy,2,6,Eliminated Week 5,5.0,Actor/Actress,39,20.0,6.666666666666667,3,22.0,7.333333333333333,3,26.0,8.666666666666666,3,25.0,8.333333333333334,3,22.0,7.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0
George Hamilton,Edyta Sliwinska,2,5,Eliminated Week 6,6.0,Actor/Actress,66,18.0,6.0,3,22.0,7.333333333333333,3,22.0,7.333333333333333,3,21.0,7.0,3,24.0,8.0,3,23.0,7.666666666666667,3,,,0,,,0,,,0,,,0,,,0
Lisa Rinna,Louis van Amstel,2,4,Eliminated Week 7,7.0,Actor/Actress,42,19.0,6.333333333333333,3,20.0,6.666666666666667,3,25.0,8.333333333333334,3,26.0,8.666666666666666,3,25.0,8.333333333333334,3,27.0,9.0,3,26.5,8.833333333333334,3,,,0,,,0,,,0,,,0
Stacy Keibler,Tony Dovolani,2,3,3rd Place,,Athlete,26,22.0,7.333333333333333,3,29.0,9.666666666666666,3,27.0,9.0,3,26.0,8.666666666666666,3,30.0,10.0,3,30.0,10.0,3,27.5,9.166666666666666,3,28.6665,9.5555,3,,,0,,,0,,,0
Jerry Rice,Anna Trebunskaya,2,2,2nd Place,,Athlete,43,21.0,7.0,3,23.0,7.666666666666667,3,19.0,6.333333333333333,3,24.0,8.0,3,23.0,7.666666666666667,3,23.0,7.666666666666667,3,20.5,6.833333333333333,3,26.666600000000003,8.888866666666667,3,,,0,,,0,,,0
Giselle Fernandez,Jonathan Roberts,2,8,Eliminated Week 3,3.0,News Anchor,44,23.0,7.666666666666667,3,24.0,8.0,3,22.0,7.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Master P,Ashly DelGrosso,2,7,Eliminated Week 4,4.0,Singer/Rapper,35,12.0,4.0,3,16.0,5.333333333333333,3,14.0,4.666666666666667,3,8.0,2.6666666666666665,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Drew Lachey,Cheryl Burke,2,1,1st Place,,Singer/Rapper,29,24.0,8.0,3,27.0,9.0,3,27.0,9.0,3,28.0,9.333333333333334,3,27.0,9.0,3,30.0,10.0,3,27.5,9.166666666666666,3,28.9998,9.6666,3,,,0,,,0,,,0
Kenny Mayne,Andrea Hale,2,10,Eliminated Week 1,1.0,Sports Broadcaster,46,13.0,4.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Harry Hamlin,Ashly DelGrosso,3,9,Eliminated Week 3,3.0,Actor/Actress,54,17.0,5.666666666666667,3,21.0,7.0,3,22.0,7.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Vivica A. Fox,Nick Kosovich,3,8,Eliminated Week 4,4.0,Actor/Actress,42,22.0,7.333333333333333,3,24.0,8.0,3,27.0,9.0,3,24.0,8.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
